gene.ids,SRX003935,SRX003921,SRX003924,SRX003923,SRX003925,SRX003932,SRX003920,SRX003922,SRX001291,SRX001364,SRX001365,SRX001366,SRX001367,SRX001368,SRX003931,SRX003929,SRX003928,SRX003934,SRX003926,SRX003927,SRX003930,SRX003933
ENSG00000117525,1,559,6,3,2,408,145,52,1,1,7,9,12,22,50,45,2,26,63,7,7,131
ENSG00000117594,0,5,0,0,0,33,18,147,24,16,27,54,157,48,45,15,1256,61,82,3,16,87
ENSG00000117601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,0,3,0,1
ENSG00000117614,63,110,122,74,45,152,22,84,8,16,64,65,82,79,197,37,24,153,18,12,143,128
ENSG00000117632,98,38,141,42,125,30,340,15,51,40,202,174,144,162,35,10,1,102,287,241,5,163
ENSG00000117877,455,375,547,309,329,269,150,204,96,79,339,293,458,360,224,91,52,252,68,123,224,369
ENSG00000117899,111,103,147,136,115,77,19,61,8,10,45,24,45,34,138,25,39,94,15,36,15,132
ENSG00000117906,155,98,252,170,154,60,169,39,54,33,129,120,154,144,48,63,36,86,102,122,59,268
ENSG00000118046,801,1322,967,916,756,1920,316,902,303,243,1177,1145,1670,1373,1772,419,254,1559,183,151,2153,4046
ENSG00000118096,73,95,281,297,288,97,148,77,127,92,289,322,274,312,162,106,48,133,135,97,103,466
ENSG00000118137,3,1,2,1,0,4,2,2,2,1,4,4,5,4,11,214,27794,4,1,574,5,4665
ENSG00000118160,12,1,35,3,31,9,2630,5,4035,2598,13164,11057,13861,12510,482,1,1,10,1477,9,1,337
ENSG00000118162,342,99,166,74,101,66,40,67,85,74,319,263,486,326,66,28,38,157,40,32,33,137
ENSG00000118181,441,875,1276,1774,997,1031,136,567,192,161,372,442,330,319,940,267,231,1664,146,537,753,827
ENSG00000118245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13451
ENSG00000118271,0,0,0,1,0,3,205,2,0,7,7,0,20,65,30,0,9295,0,750,98,3,11
ENSG00000118363,258,88,106,107,107,89,54,42,18,21,46,56,88,53,77,27,66,170,21,40,38,115
ENSG00000118369,112,169,254,136,105,174,165,75,140,92,263,290,432,439,248,64,72,345,113,49,56,524
ENSG00000118402,1,153,0,46,25,4,220,7,76,73,268,184,254,265,19,2,0,15,154,29,1,121
ENSG00000118407,0,1,0,0,0,83,62,83,1,1,6,5,2,7,183,946,9,76,22,10,577,79
ENSG00000118418,77,51,43,66,38,32,66,39,53,48,130,114,84,113,63,146,62,88,72,76,25,204
ENSG00000118432,0,0,0,0,0,356,78,14,56,66,173,185,289,210,135,3,1,137,46,0,15,74
ENSG00000118496,97,122,113,84,49,79,66,65,14,17,53,41,57,60,193,139,26,128,43,86,531,243
ENSG00000118508,56,230,212,177,125,228,26,117,3,3,7,13,16,17,197,51,257,190,17,127,15,418
ENSG00000118523,7,157,81,90,11,2227,530,1635,37,16,60,42,56,50,2615,846,107,885,106,430,254,3282
ENSG00000118526,0,0,0,0,0,38,0,1,0,0,0,0,1,0,836,43,14,95,1,0,3,562
ENSG00000118579,72,90,52,57,58,88,7,33,5,3,17,30,48,45,89,13,18,117,7,15,56,84
ENSG00000118600,113,106,252,197,152,103,82,63,24,15,55,62,88,83,63,137,103,139,46,85,65,244
ENSG00000118640,654,1431,0,911,922,461,50,310,8,6,29,27,25,24,464,147,737,1222,17,165,61,486
ENSG00000118655,92,105,184,558,101,109,52,77,47,47,165,176,145,196,37,23,21,110,32,120,22,159
ENSG00000118680,242,253,108,243,147,213,115,94,97,54,178,119,70,94,175,161,213,286,139,167,142,340
ENSG00000118689,124,70,21,87,32,215,110,92,74,72,153,157,95,102,158,71,25,119,88,36,372,119
ENSG00000118707,260,172,355,395,244,339,26,132,4,4,18,23,16,27,195,58,56,426,7,152,24,638
ENSG00000118804,141,94,84,64,21,269,15,336,1,2,3,4,7,2,112,90,46,50,8,10,180,71
ENSG00000118898,1660,15632,59,1901,1244,4041,486,1356,124,108,485,436,302,394,1301,198,363,783,170,150,787,1608
ENSG00000118900,1040,765,1070,1111,1066,1329,362,550,264,208,795,695,887,837,762,514,290,1014,219,306,617,2027
ENSG00000118946,2,0,0,0,2,68,237,42,12,5,72,49,70,37,160,19,9,175,57,1,8,440
