gene.ids,SRX003935,SRX003921,SRX003924,SRX003923,SRX003925,SRX003932,SRX003920,SRX003922,SRX001291,SRX001364,SRX001365,SRX001366,SRX001367,SRX001368,SRX003931,SRX003929,SRX003928,SRX003934,SRX003926,SRX003927,SRX003930,SRX003933
ENSG00000001036,33,13,125,88,28,132,39,58,9,3,15,15,7,9,74,52,85,77,15,114,20,121
ENSG00000001167,339,269,404,253,152,144,73,58,30,35,127,117,185,151,88,40,36,166,43,108,70,279
ENSG00000001561,18,1,0,29,38,112,339,44,24,16,53,55,77,52,68,136,52,86,134,16,144,111
ENSG00000002330,118,59,60,29,73,107,20,80,13,7,52,35,66,47,200,41,13,94,13,16,38,157
ENSG00000002834,2725,87,124,62,312,145,48,101,12,10,39,45,36,45,56,25,30,89,25,41,16,66
ENSG00000002919,88,91,140,265,187,176,119,128,64,62,189,213,210,153,170,71,86,250,97,96,79,307
ENSG00000003056,876,863,2393,739,226,819,578,389,155,127,551,374,560,523,976,506,434,1428,257,704,547,1352
ENSG00000003249,524,93,514,1085,507,37,661,115,237,165,802,542,806,712,105,40,8,93,231,158,120,128
ENSG00000003989,179,2,11,766,0,261,14,49,1,0,6,1,2,7,124,92,192,151,19,96,693,191
ENSG00000004478,1770,749,1005,1113,4744,623,749,260,771,672,1691,1691,1521,1687,2977,232,595,1867,536,918,1542,2328
ENSG00000004660,78,33,102,18,38,45,405,25,137,141,322,455,566,339,51,19,1,76,148,21,24,87
ENSG00000004700,55,118,232,38,92,110,34,48,15,12,29,28,39,59,66,82,24,148,28,132,67,68
ENSG00000004776,3,0,6,5,3,6667,117,7607,12,12,31,44,56,34,10069,2776,73,1474,43,51,6258,6476
ENSG00000004779,258,194,508,322,376,180,292,202,147,134,328,340,297,353,293,908,441,212,189,269,317,405
ENSG00000004848,61,1,2,23,16,0,189,14,0,1,0,0,1,1,1,0,0,14,46,0,174,874
ENSG00000004897,86,124,125,127,170,163,264,76,68,52,153,141,101,151,74,121,115,112,122,135,158,276
ENSG00000004961,263,156,473,98,167,139,91,63,27,17,76,52,70,92,173,186,106,101,34,109,151,177
ENSG00000004975,651,681,1466,782,547,976,197,398,220,184,877,760,980,925,1117,178,98,1029,133,377,499,2078
ENSG00000005001,326,121,1,348,410,0,0,21,28,20,120,60,117,118,5,0,4,1,5,9,0,11
ENSG00000005007,1039,1430,1152,965,773,1970,435,456,338,300,1276,1105,1879,1200,1075,254,299,1933,273,325,810,2743
ENSG00000005100,346,315,1056,260,164,170,137,62,76,70,218,223,311,240,71,64,69,156,73,191,139,157
ENSG00000005102,0,0,0,0,0,236,1,314,1,0,0,0,0,0,93,59,0,232,0,6,143,291
ENSG00000005175,137,74,135,132,125,35,95,33,18,23,98,79,96,108,70,87,38,92,65,99,127,149
ENSG00000005189,57,20,109,76,192,26,25,25,20,11,51,49,63,55,12,9,6,9,9,56,9,5030
ENSG00000005206,284,203,315,269,176,197,52,194,117,127,418,402,621,378,112,42,59,300,45,76,139,800
ENSG00000005243,1,69,203,33,87,810,38,717,11,9,22,34,29,20,516,140,275,178,14,70,631,475
ENSG00000005339,1919,1326,1434,2251,1426,3290,744,1771,674,550,2140,2172,3160,2789,2124,572,390,2782,519,332,2590,4711
ENSG00000005379,474,4,3,0,3,25,713,71,514,380,1832,2056,2404,1770,139,89,16,429,506,27,35,160
ENSG00000005381,0,0,0,0,0,1317,9,1,7,4,24,17,18,11,3,4,14,8,5,0,5,10
ENSG00000005513,10,1,1,0,0,76,1082,50,66,77,295,365,572,333,159,6,0,184,238,22,14,292
ENSG00000005893,63,136,295,133,71,95,216,44,9,11,30,16,40,43,51,38,102,95,62,63,119,101
ENSG00000006007,448,348,643,488,469,517,628,479,182,156,501,423,410,457,686,808,287,477,368,320,281,580
ENSG00000006015,52,72,84,67,33,95,15,62,32,31,201,157,239,199,91,30,24,105,29,14,61,60
ENSG00000006016,14,121,1,118,251,2437,157,113,19,5,38,73,55,20,728,73,8,395,66,190,337,867
ENSG00000006025,126,39,176,306,174,41,26,54,129,96,286,366,438,296,82,15,7,374,55,93,8,95
ENSG00000006042,0,77,40,0,53,62,66,44,12,12,38,45,54,26,136,18,7,80,29,36,4,165
ENSG00000006047,74,0,0,177,352,64,10,77,0,0,2,4,1,4,87,2,3,21,4,13,32,7696
ENSG00000006062,59,166,131,101,66,104,59,119,70,97,249,226,355,317,407,63,77,798,56,59,1117,652
ENSG00000006071,24,0,0,42,9,5,166,10,658,618,2177,1934,3278,1929,25,7,0,5,239,1,3,30
ENSG00000006074,0,0,0,0,0,113,0,39,0,0,0,0,0,0,25,154,13,725,0,0,2,7
ENSG00000006116,0,0,0,0,0,0,1102,0,24,21,65,57,82,82,0,0,0,1,332,0,0,10
ENSG00000006118,5805,3121,2034,1734,4420,496,1245,242,720,632,2330,2052,3513,2537,570,50,12,471,524,235,24,615
ENSG00000006125,1033,1006,943,749,1354,1196,2178,438,801,541,1970,1743,1594,1777,934,346,252,931,1060,629,437,1578
ENSG00000006194,440,323,545,506,380,264,131,163,119,114,407,453,489,462,355,103,104,575,144,168,147,563
ENSG00000006210,215,61,58,26,0,2953,1659,1707,162,132,330,323,437,382,940,307,74,703,411,101,880,2808
ENSG00000006283,0,0,0,1,0,1,43,2,164,75,352,219,465,340,5,2,0,4,55,0,0,4
ENSG00000006327,856,1930,1490,1145,933,134,16,183,6,9,17,19,22,21,205,166,75,226,5,352,188,288
ENSG00000006432,305,421,112,308,382,11,233,23,155,138,394,450,818,575,14,7,29,224,134,43,18,258
ENSG00000006712,312,198,294,475,375,393,311,203,182,119,473,463,501,486,313,193,206,477,158,132,325,825
ENSG00000006740,77,3,8,212,73,111,940,62,422,357,1364,1323,1704,1634,258,109,27,253,463,29,36,429
ENSG00000006757,174,340,65,25,102,175,56,264,18,21,50,39,56,34,109,138,159,147,21,39,171,242
ENSG00000006831,1082,964,1890,794,757,2676,1361,1539,174,135,473,474,502,506,985,578,1428,952,526,542,562,1348
ENSG00000007038,0,1,0,0,0,3,1,14,0,0,0,1,0,0,15,0,1,50,0,157,0,1057
ENSG00000007047,200,462,364,317,133,709,255,269,100,76,263,282,472,363,658,102,74,332,104,85,417,1065
ENSG00000007080,1081,1443,1840,1410,1317,2291,388,1353,293,284,933,1038,1442,991,2258,597,386,1371,242,395,2253,1428
ENSG00000007168,89,128,187,65,124,81,150,52,84,65,163,190,158,106,68,66,34,109,101,58,147,226
ENSG00000007202,4059,1933,1975,2188,4098,1989,1017,1700,606,596,1741,1703,2025,1871,1613,923,1100,2231,563,845,1893,2153
ENSG00000007237,19,0,6033,1,42,1364,8935,845,5320,3683,16343,14248,17486,13303,2253,779,34,1336,4306,342,238,2078
ENSG00000007255,708,168,121,750,380,282,87,177,46,35,114,133,191,140,280,59,162,211,52,83,111,404
ENSG00000007264,142,0,1,110,0,9,210,68,14,15,44,47,73,70,32,5,12,197,93,49,4,107
ENSG00000007312,0,0,0,0,0,87,2,36,2,0,2,0,3,4,106,35,21,1472,0,2,11,32
ENSG00000007314,0,0,1,0,0,2823,1,620,15,21,36,2,46,59,470,64,2,100,4,4,4835,198
ENSG00000007376,568,321,1009,461,286,306,93,213,60,60,282,241,318,269,267,48,70,537,52,126,72,406
ENSG00000007520,414,491,654,376,404,755,205,445,91,74,314,298,379,377,870,180,151,538,89,138,233,723
ENSG00000007866,141,141,97,105,162,158,7,90,0,1,5,3,7,4,593,42,30,138,1,22,95,306
ENSG00000007944,147,10,134,172,47,199,40,203,20,22,31,44,74,47,190,81,12,282,25,70,96,344
ENSG00000008018,140,233,270,267,200,386,136,142,45,27,137,120,113,123,223,155,327,242,68,262,240,355
ENSG00000008056,5,2,6,5,57,52,5307,15,1606,1597,4964,4978,6253,5890,167,128,118,52,2184,17,9,249
ENSG00000008283,1033,519,847,2189,1823,231,215,322,44,41,152,143,169,166,291,62,175,367,115,155,18,493
ENSG00000008382,176,273,529,597,214,494,142,268,79,56,264,281,365,342,446,108,146,280,74,65,145,406
ENSG00000008394,484,760,146,331,418,2837,154,2209,33,19,69,88,64,65,573,146,4981,572,111,291,99,198
ENSG00000008405,25,11,13,29,23,23,39,14,27,38,70,77,78,128,27,30,47,35,46,39,17,205
ENSG00000008441,197,1901,4989,88,524,6441,6479,9011,3184,2031,10610,9015,12928,11484,9280,1495,591,2908,2419,489,10247,6765
ENSG00000008735,94,11,127,14,30,50,954,10,413,365,1786,1155,2080,1559,87,1,1,26,293,15,3,163
ENSG00000009830,80,96,169,121,146,62,57,50,21,24,87,74,110,117,63,27,24,61,33,37,202,249
ENSG00000009844,36,100,83,67,64,47,85,18,20,8,58,41,66,67,58,45,27,63,28,54,71,59
ENSG00000010219,77,127,85,36,53,82,133,60,44,62,125,155,128,128,223,74,68,219,55,72,74,708
ENSG00000010244,650,686,774,439,678,979,326,280,128,100,311,309,478,338,529,243,256,1041,160,441,352,834
ENSG00000010278,1082,2597,1805,1291,155,496,551,271,28,18,105,86,166,78,1478,238,96,797,182,256,142,494
ENSG00000010292,627,454,2134,533,321,223,122,92,30,34,130,87,109,94,209,107,31,391,44,570,99,604
ENSG00000010295,1,5,1,2,1,103,48,70,93,80,287,282,313,264,68,25,14,291,33,32,42,164
ENSG00000010361,33,20,223,87,36,134,75,67,42,30,151,149,178,169,140,35,13,165,29,14,90,128
ENSG00000010610,0,11,6,1,1,804,114,335,3,19,52,33,66,51,233,131,493,1404,51,18,53,673
ENSG00000011028,6,4548,17,254,25,1427,88,2388,17,16,78,67,101,76,1720,416,54,1504,42,338,178,4881
ENSG00000011105,65,20,43,10,19,93,18,33,66,63,257,189,247,179,61,85,29,40,46,10,14,67
ENSG00000011132,49,59,102,54,47,101,14,77,31,30,125,104,172,122,174,24,50,268,17,23,163,199
ENSG00000011143,175,90,105,257,186,54,30,41,23,34,66,63,100,95,29,23,25,41,21,53,22,191
ENSG00000011243,1919,783,809,1233,732,932,276,442,647,573,1943,2125,2699,2280,1611,309,143,1373,347,310,1136,1766
ENSG00000011304,2269,1847,2551,1564,1786,2934,183,971,132,121,420,382,619,469,2106,261,766,2707,120,929,363,2511
ENSG00000011347,2573,527,2,1036,1450,181,2152,349,1305,1128,3313,2857,4538,4433,288,302,2153,88,1024,112,77,502
ENSG00000011405,210,189,248,160,94,163,227,101,70,56,224,202,179,270,127,230,121,132,182,175,67,269
ENSG00000011451,1195,450,568,434,387,1074,203,406,152,115,380,400,447,337,809,174,153,573,103,172,413,1414
ENSG00000011465,0,3,0,0,0,1424,24,536,6,3,12,8,19,15,2657,696,79,1901,17,32,256,1964
ENSG00000011478,109,165,382,238,155,233,69,89,45,33,126,125,160,131,173,12,49,281,43,99,14,191
ENSG00000011600,0,0,0,1,0,1149,165,407,14,11,70,62,93,60,348,295,241,1770,73,0,111,658
ENSG00000011638,256,760,536,320,525,551,33,551,162,84,488,421,430,442,994,911,12,555,65,82,344,653
ENSG00000012061,256,650,550,305,283,530,134,231,78,72,272,235,314,270,353,317,99,309,74,91,493,620
ENSG00000012124,1,2,78,9,9,8,110,10,21,14,40,59,106,82,8,1,4,1681,92,13,2,100
ENSG00000012174,162,52,144,55,102,56,45,28,16,9,60,47,47,39,28,27,21,23,15,30,30,37
ENSG00000012660,212,72,95,48,59,122,19,139,3,3,7,19,26,20,56,5,7,65,8,12,2,41
ENSG00000012822,329,1174,529,1166,570,2160,705,1242,1182,1060,3372,3282,4007,3559,2173,1394,208,2036,676,220,2232,857
ENSG00000012963,333,126,458,258,441,197,396,107,98,79,328,273,268,329,181,203,127,273,187,293,238,629
ENSG00000012983,175,228,214,197,123,105,109,80,56,61,156,156,182,208,122,69,51,126,95,100,59,142
ENSG00000013016,41,213,267,75,48,224,1833,146,783,738,1929,2070,2634,2060,204,580,607,769,888,86,49,455
ENSG00000013275,1033,953,2843,1545,1115,1272,666,613,406,338,954,1051,1308,1031,702,478,1131,1148,345,628,1316,1864
ENSG00000013306,1653,1476,1217,2607,2602,1194,278,929,188,332,769,614,842,821,1769,229,1235,1664,164,664,425,2984
ENSG00000013364,750,3469,5214,606,222,5949,387,1813,153,95,361,337,541,234,3522,449,797,4104,142,351,788,3311
ENSG00000013503,86,134,138,97,128,55,107,67,30,35,84,84,86,89,45,69,135,50,55,61,64,217
ENSG00000013523,178,60,68,99,135,104,38,18,16,17,73,50,78,68,86,32,6,66,22,13,42,266
ENSG00000013583,349,272,176,376,90,967,265,533,73,61,260,212,203,207,1016,247,659,777,119,180,338,851
ENSG00000013588,104,1350,283,1454,129,278,3,66,0,1,3,2,0,0,291,21,3,105,3,260,8,118
ENSG00000013725,3,0,0,1,4,20,5,29,1,1,3,2,5,7,45,3,8,1033,6,34,3,63
ENSG00000014138,523,94,749,163,526,108,57,46,46,27,97,93,106,107,110,28,35,115,20,192,62,336
ENSG00000014164,563,341,682,390,609,934,200,302,82,78,285,272,429,355,446,67,133,631,75,103,778,1631
ENSG00000014216,4132,7495,2959,2536,2243,2515,496,1284,361,341,1332,1112,1693,1397,2339,534,771,2336,286,504,1675,1919
ENSG00000015413,0,0,0,1,0,2,0,8,1,0,1,0,0,0,5,0,2,1197,0,11,0,3661
ENSG00000015592,0,0,0,0,0,0,129,0,49,123,159,141,153,294,9,0,0,0,82,0,0,0
ENSG00000016490,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4708,0,0,0,1,0,0,7
ENSG00000017373,5048,28,357,146,386,40,1855,57,1735,1186,5170,4340,5761,5417,76,6,42,30,700,16,3,83
ENSG00000017797,65,105,84,46,57,246,91,167,69,59,134,124,71,46,348,52,28,130,65,42,84,155
ENSG00000018236,9,62,0,0,1,3,620,6,193,158,640,575,598,609,20,2,0,16,427,5,1,111
ENSG00000019144,42,178,433,89,228,1313,280,1059,115,88,289,368,821,484,515,130,15,366,108,31,136,396
ENSG00000019505,0,0,0,0,8,2,1449,3,345,325,867,856,935,1260,69,80,4,0,631,15,0,46
ENSG00000019549,0,470,308,1,1,113,8,56,12,15,32,26,48,45,94,18,12,161,2,27,9,196
ENSG00000019582,0,9,9144,9,47,5067,157,1625,10,9,61,59,221,41,850,1149,159,5936,129,73,670,1450
ENSG00000020426,104,101,95,210,159,72,49,69,36,24,82,102,89,77,54,55,37,56,50,75,181,83
ENSG00000020577,19,70,228,76,258,279,105,443,47,36,121,130,240,146,365,325,55,204,35,21,597,3374
ENSG00000020922,55,67,104,34,103,41,41,36,20,22,42,37,38,45,39,26,19,43,23,98,26,54
ENSG00000021300,6,18,360,232,86,88,9183,82,1319,1129,3230,3951,3407,4290,1395,84,17,389,3164,74,121,423
ENSG00000021574,49,51,72,64,33,53,155,31,29,29,68,74,93,94,68,20,40,71,71,43,80,166
ENSG00000021776,217,174,271,213,231,258,166,112,47,33,140,129,127,164,183,88,112,216,91,138,122,561
ENSG00000022267,0,6,5,5,0,1024,27,1019,20,14,58,52,62,40,359,285,7,146,35,21,2452,324
ENSG00000022556,542,0,0,0,372,4,19,2,2,3,25,21,10,1,6,0,1,9,7,47,0,175
ENSG00000022840,1617,1055,740,1329,1615,2295,1187,1069,597,450,1648,1627,1707,1796,1863,1752,756,2015,631,650,2935,3689
ENSG00000022976,106,35,28,107,151,32,36,50,15,12,84,57,54,60,35,14,21,51,16,39,67,287
ENSG00000023171,1,0,1,1,8,90,108,2,178,128,454,498,782,564,21,34,3,20,126,45,8,240
ENSG00000023191,664,2303,1440,1020,1040,3605,729,1960,285,318,1330,1059,1170,1018,2713,790,737,1821,311,416,1925,4565
ENSG00000023318,221,469,751,465,276,482,155,221,82,56,180,181,196,234,398,188,600,581,104,182,205,411
ENSG00000023330,45,46,84,22,29,195,75,93,47,41,187,139,132,123,126,105,638,101,34,23,105,166
ENSG00000023516,123,310,341,176,127,247,1415,121,172,133,438,436,494,574,184,261,81,341,682,165,188,600
ENSG00000023608,50,68,73,88,54,31,38,31,8,12,33,25,36,43,46,33,7,53,24,64,29,225
ENSG00000023697,73,162,120,43,392,115,47,41,14,9,26,36,31,34,70,70,140,74,16,90,73,88
ENSG00000023734,544,521,547,309,601,482,252,234,127,106,354,338,318,296,386,236,188,279,165,273,304,549
ENSG00000024422,5,3132,474,88,380,6470,139,7458,15,26,71,89,118,95,4892,313,63,1681,57,133,518,2920
ENSG00000024862,27,59,125,138,37,133,96,99,85,62,244,207,210,233,195,40,156,196,119,69,26,306
ENSG00000025423,3,1,12,4,7,3,49,0,12,22,85,97,86,55,31,2,2604,15,25,6,5,92
ENSG00000025708,3,54,13,21,8,520,16,212,13,4,28,28,43,26,135,16,71,198,6,9,9,89
ENSG00000025772,696,305,910,192,308,212,214,70,28,38,97,88,83,108,194,49,89,243,95,217,88,2304
ENSG00000026508,4,354,604,61,15,141,4,37,0,1,1,1,0,2,60,9,0,128,8,75,20,36
ENSG00000027075,262,209,1,320,271,730,41,184,15,12,33,35,50,38,325,172,100,1130,37,35,325,256
ENSG00000027697,30,194,38,30,17,187,34,88,10,14,28,22,35,29,94,108,51,168,16,25,44,94
ENSG00000028137,0,0,14,0,2,1845,26,219,2,5,6,2,11,2,420,48,52,446,3,7,68,147
ENSG00000028203,90,128,35,81,140,71,80,30,29,16,79,63,74,60,70,95,56,65,52,59,192,77
ENSG00000028277,2,6,4,10,3,32,36,93,61,48,178,220,233,268,15,10,8,764,57,6,0,83
ENSG00000028528,319,539,1946,491,550,506,284,286,76,79,227,190,313,287,464,266,344,556,113,221,147,647
ENSG00000029364,583,577,480,523,979,593,511,324,83,65,281,208,267,305,234,122,502,406,169,263,77,453
ENSG00000029725,597,302,730,328,1037,338,494,203,120,99,317,370,454,394,203,289,102,318,240,163,476,327
ENSG00000030582,533,4118,1656,2267,1770,5128,213,2152,58,85,279,232,300,246,2837,632,932,4249,98,502,531,3966
ENSG00000031823,255,312,446,155,181,427,234,191,116,96,397,327,441,473,372,169,91,427,105,144,411,1103
ENSG00000032444,550,1565,2420,544,528,1514,1071,819,330,321,1240,1063,1827,1246,1527,336,402,2724,384,247,1758,3198
ENSG00000033011,108,93,187,79,139,73,27,65,15,9,40,48,46,34,38,24,58,97,7,38,32,123
ENSG00000033030,237,148,132,304,249,94,58,66,95,85,233,209,261,346,88,53,63,268,61,151,195,244
ENSG00000033170,62,12,64,193,21,44,307,32,50,34,109,81,96,141,52,14,4,147,63,53,18,188
ENSG00000033327,173,114,1667,1041,839,3454,1706,1295,190,167,448,598,694,485,1449,358,91,1015,585,261,361,1078
ENSG00000033627,283,442,243,365,583,571,2181,308,1086,908,2841,2780,3058,2845,751,133,239,433,876,181,1422,789
ENSG00000033800,119,265,196,198,155,208,231,114,44,49,121,167,170,177,178,179,70,336,86,105,212,528
ENSG00000034053,82,1,100,5,0,3,200,8,117,117,460,384,428,425,3,0,2,58,110,17,0,104
ENSG00000034063,297,179,920,103,441,9,13,8,0,0,4,2,4,3,5,0,0,34,0,98,1,84
ENSG00000034510,3619,9502,2612,3357,1321,10500,2375,3971,273,226,750,594,612,620,8548,1557,889,9871,1007,2148,876,6263
ENSG00000034713,175,191,225,336,251,226,633,158,262,223,753,608,737,795,335,410,196,313,509,173,268,581
ENSG00000034971,0,0,0,0,0,337,0,404,0,0,2,0,1,0,430,91,1,437,1,0,65,214
ENSG00000035862,19,224,1368,112,303,3221,397,1417,31,27,105,73,120,78,2110,219,95,1555,117,255,253,2885
ENSG00000036672,15,11,20,28,73,42,388,85,155,123,461,463,425,510,51,545,51,66,164,26,1162,1988
ENSG00000037042,75,148,285,115,513,214,758,242,392,277,1133,976,1030,857,347,54,32,196,357,81,34,363
ENSG00000037757,635,320,728,301,188,154,101,171,92,67,326,336,509,396,106,51,97,510,72,115,125,119
ENSG00000037965,94,64,237,23,213,207,0,254,0,1,0,2,0,0,16,1,0,117,0,32,268,180
ENSG00000038358,1273,928,986,1361,1191,706,334,424,526,545,1811,1789,2511,1758,558,206,195,1246,261,388,717,1444
ENSG00000039068,3321,7169,0,6021,3344,15,10,264,2,1,6,4,5,6,153,0,317,33,6,133,0,193
ENSG00000039523,427,528,1554,649,951,3311,921,929,732,666,2239,2030,2872,2458,2314,689,342,2748,481,349,1271,1999
ENSG00000039650,494,425,441,381,218,547,74,263,87,69,259,271,511,423,214,101,160,613,36,98,247,615
ENSG00000040633,388,320,759,270,310,207,71,107,46,43,143,185,262,208,301,77,69,355,38,62,146,332
ENSG00000040731,0,1,0,0,2,0,177,0,96,91,331,283,256,314,4,0,0,1,96,4,0,9
ENSG00000041353,291,366,27,54,70,4,151,12,2,1,5,2,2,7,10,2,2,12,63,34,0,47
ENSG00000041357,467,297,567,685,489,272,310,251,158,99,328,273,213,348,433,270,571,313,262,521,320,848
ENSG00000042088,264,111,125,163,218,61,53,25,36,33,92,91,112,112,40,19,20,110,27,86,13,301
ENSG00000042286,30,20,267,117,10,325,19,504,18,25,82,74,58,88,107,71,79,49,9,50,75,57
ENSG00000042429,101,147,200,68,102,90,77,48,41,41,127,109,144,130,64,62,34,209,55,81,50,169
ENSG00000042753,1058,1582,2261,1248,1780,1735,610,940,267,192,729,646,778,574,1064,291,712,1289,309,458,529,1707
ENSG00000043039,126,95,0,182,50,6,15,236,2,4,4,5,4,17,29,1,0,36,7,17,0,200
ENSG00000043591,13,7,3,20,13,216,250,296,7,6,29,30,37,53,47,404,5,13,77,5,8,44
ENSG00000044090,61,74,141,145,80,107,28,45,35,36,115,102,145,103,88,10,5,84,22,30,108,88
ENSG00000044574,1211,1589,2574,1754,3376,1169,401,549,243,205,539,536,594,462,2447,549,1777,3379,312,761,407,1983
ENSG00000046604,576,1304,268,331,489,983,3,271,0,1,2,0,0,0,314,361,141,61,6,243,30,141
ENSG00000047346,45,74,50,187,141,134,51,88,68,49,216,162,167,155,36,119,110,230,100,45,150,130
ENSG00000047597,3,16,1,16,39,4,108,7,30,16,91,76,104,82,182,126,28,7,63,37,26,62
ENSG00000047621,52,79,136,45,36,37,107,38,62,51,149,141,144,146,18,51,41,72,68,65,69,99
ENSG00000047662,79,35,38,50,89,30,107,52,77,62,206,263,242,274,46,25,29,141,85,47,117,111
ENSG00000048028,141,139,205,75,172,64,40,49,100,104,267,299,286,330,93,462,53,134,83,125,549,176
ENSG00000048544,107,106,183,93,187,67,62,37,29,27,54,41,40,53,60,106,83,92,37,66,95,99
ENSG00000048740,4,7,293,0,0,233,157,257,17,22,76,57,124,92,95,170,13,308,98,25,172,125
ENSG00000049130,86,231,20,56,210,34,115,24,23,12,34,14,29,37,219,43,9,49,58,20,25,117
ENSG00000049239,203,213,233,166,129,2829,57,590,41,33,135,88,117,115,698,162,1196,704,32,44,836,825
ENSG00000049449,22,56,84,7,77,206,17,34,14,17,28,38,33,12,59,21,52,120,15,45,21,67
ENSG00000049759,865,257,453,174,298,291,858,364,284,269,783,825,846,782,581,259,98,177,365,362,326,461
ENSG00000049769,112,11,6,50,28,26,118,20,70,62,144,220,322,122,77,84,9,140,55,8,104,74
ENSG00000050130,101,52,65,88,143,78,119,35,44,47,112,102,103,140,40,77,92,77,99,79,63,163
ENSG00000050165,0,1319,1629,0,0,424,1966,229,753,574,2896,2141,3527,2066,1387,2432,25,665,958,151,58,1320
ENSG00000050405,514,1070,689,155,343,718,121,703,541,325,1487,1128,911,1169,540,127,115,566,211,201,61,423
ENSG00000050426,110,329,223,510,342,388,358,247,203,166,672,460,358,452,544,69,197,307,222,293,207,492
ENSG00000050555,0,0,3,0,0,8,6,2,4,0,5,1,5,4,5,3,5,4,1,3,1,1107
ENSG00000050628,10,0,1,0,490,960,0,593,0,0,0,0,1,0,105,9,0,58,4,6,3,104
ENSG00000050820,738,1400,821,910,829,1588,591,749,587,595,2433,1814,2623,2144,1678,417,314,1123,303,250,2678,2553
ENSG00000051009,439,358,245,165,194,563,214,261,124,116,402,419,587,516,435,96,147,371,90,102,185,1643
ENSG00000051108,367,260,312,234,167,376,215,292,82,80,256,225,202,281,540,246,267,1707,141,199,675,515
ENSG00000051128,74,195,267,112,46,216,38,70,292,167,621,449,764,632,147,31,14,215,65,49,141,114
ENSG00000051523,818,56,0,2164,1,4012,221,1473,7,14,47,33,111,46,2442,348,407,10684,45,628,127,1348
ENSG00000051620,55,206,34,133,61,766,62,289,46,28,81,86,49,65,235,188,657,105,29,62,201,186
ENSG00000052344,379,939,0,568,267,1,1,86,2,0,4,3,7,6,68,0,42,3,2,23,0,92
ENSG00000053254,323,94,49,139,120,908,117,749,132,93,314,353,430,396,678,297,115,316,93,50,570,418
ENSG00000053438,12,139,46,32,34,207,821,940,283,204,836,709,864,781,1168,8,3,210,432,13,65,316
ENSG00000053501,152,85,256,47,55,95,50,99,26,13,81,69,147,130,134,52,59,121,19,23,130,126
ENSG00000053702,61,50,58,37,41,201,215,144,661,552,2336,1917,2381,1979,257,48,14,370,238,18,116,650
ENSG00000053747,11,8252,19,170,134,139,13,231,4,5,16,8,27,19,126,82,27,461,18,20,24,196
ENSG00000053770,156,78,86,61,112,55,85,28,17,17,45,73,52,66,36,70,33,80,55,48,26,98
ENSG00000054148,359,539,222,410,291,218,112,327,134,121,449,430,524,470,336,285,94,360,78,161,298,746
ENSG00000054598,2,405,209,173,39,943,145,320,16,20,68,41,87,70,325,103,12,599,71,110,157,876
ENSG00000054690,479,113,497,467,554,35,2058,50,555,415,1780,1394,2325,1627,55,43,20,12,795,132,24,182
ENSG00000054965,453,129,395,200,193,259,603,91,138,102,441,414,506,550,202,81,40,136,197,69,110,210
ENSG00000054967,113,40,121,20,35,46,48,16,12,14,37,54,81,43,16,3,5,272,19,29,35,49
ENSG00000055070,113,162,172,153,92,371,37,95,9,7,54,44,73,68,423,141,94,388,17,52,191,314
ENSG00000055130,218,172,291,153,75,172,185,98,90,60,209,184,161,195,126,121,113,204,102,149,270,578
ENSG00000055211,18,41,15,67,42,131,51,35,11,7,41,32,35,31,77,66,36,66,25,30,72,113
ENSG00000055483,79,93,89,93,77,91,16,32,20,14,41,72,92,72,39,25,8,44,15,20,34,52
ENSG00000055813,20,0,0,32,82,226,181,148,16,14,36,46,72,37,67,69,1,69,60,0,25,47
ENSG00000056345,0,0,572,1,0,408,19,84,2,3,7,4,2,3,186,14,45,97,4,48,18,119
ENSG00000056558,42,47,297,15,32,101,60,70,68,74,139,187,201,191,102,25,18,896,82,146,11,111
ENSG00000056661,4616,203,499,349,828,672,100,240,139,118,343,370,561,414,624,109,51,508,63,155,80,726
ENSG00000057294,73,194,0,68,70,180,7,23,2,8,26,16,21,18,32,1537,105,28,11,39,36,113
ENSG00000057704,78,178,31,44,1,728,477,125,25,23,104,48,95,88,343,51,48,218,138,21,581,255
ENSG00000058272,429,297,273,434,273,274,446,467,103,86,217,244,196,278,498,212,93,459,349,241,311,589
ENSG00000058335,16,2,0,0,6,1,577,1,319,190,725,717,999,1041,1,0,0,11,288,5,0,11
ENSG00000058600,662,453,623,510,381,373,67,289,87,85,252,287,490,305,356,170,95,423,53,157,896,545
ENSG00000059122,110,289,227,262,190,375,248,225,214,230,1326,968,1196,706,624,110,74,412,191,81,272,472
ENSG00000059758,75,109,100,85,86,253,583,60,73,58,219,213,203,332,205,65,72,242,218,89,132,424
ENSG00000060069,470,417,227,192,208,439,87,203,78,67,172,252,278,231,173,89,76,289,50,84,206,1016
ENSG00000060138,946,3598,472,645,201,4651,95,1039,3,6,10,14,25,12,3853,1489,77,2036,40,272,38192,3122
ENSG00000060558,1,1201,1,0,0,210,47,70,22,27,101,13,74,59,103,32,11,264,21,116,8,125
ENSG00000060566,0,0,2,4,1,0,9,0,3,0,6,1,4,2,2,0,7315,1,2,6,3,12
ENSG00000060749,138,150,272,123,151,76,73,60,13,14,44,48,51,60,71,61,23,64,41,87,54,162
ENSG00000060762,13,11,33,15,37,62,87,56,28,25,91,77,84,77,63,425,344,64,65,28,110,67
ENSG00000060982,0,11,88,0,0,200,253,110,13,23,39,43,27,38,118,55,27,153,152,569,67,229
